Job Role,Skill,Percentage
accountant manager,account,28.96
accountant manager,tax,14.43
accountant manager,financial,14.2
accountant marketing,R,100.0
accountant marketing,GAN,100.0
accountant marketing,Excel,100.0
accountant marketing,account,29.9
accountant marketing,report,10.55
accountant marketing,budget,9.19
accountant marketing,financial report,8.62
accountant marketing,financial,8.05
accountant marketing,general ledger,7.49
accountant marketing,gaap,7.11
accountant sales,R,100.0
accountant sales,AWS,100.0
accountant sales,GAN,100.0
accountant sales,tax,40.31
accountant sales,account,9.97
accountant sales,inventory,8.87
accountant sales,account finance,7.86
accountant sales,sales,6.55
accountant sales,audit,6.36
accountant sales,finance,5.81
administrator,Regression,100.0
administrator,Sustainability,100.0
administrator,Tableau,100.0
administrator,SVM,100.0
administrator,Pattern,100.0
administrator,Hadoop,100.0
administrator,Matrix,100.0
administrator,TensorFlow,100.0
administrator,Django,100.0
administrator,MongoDB,100.0
administrator accountant,R,100.0
administrator accountant,Power BI,100.0
administrator accountant,Excel,100.0
administrator accountant,account,16.71
administrator accountant,contract,13.61
administrator accountant,project,11.58
administrator accountant,financial,10.12
administrator accountant,management,9.27
administrator accountant,report,8.85
administrator accountant,administration,8.1
administrator administrator,R,100.0
administrator administrator,MySQL,100.0
administrator administrator,SQL,100.0
administrator administrator,Excel,100.0
administrator administrator,GAN,100.0
administrator administrator,database,24.19
administrator administrator,oracle,12.69
administrator administrator,customer,8.54
administrator administrator,sql,8.35
administrator administrator,data,8.27
administrator analyst,R,100.0
administrator analyst,Tableau,100.0
administrator analyst,Azure,100.0
administrator analyst,Excel,100.0
administrator analyst,GAN,100.0
administrator analyst,Ethics,100.0
administrator analyst,security,14.42
administrator analyst,dod,10.28
administrator analyst,security clearance,10.22
administrator analyst,operations,9.97
administrator banking,R,100.0
administrator banking,loan,11.62
administrator banking,payment,11.62
administrator banking,trade,10.97
administrator banking,cash,10.64
administrator banking,reconciliation,10.56
administrator banking,management systems,10.48
administrator banking,check,9.65
administrator banking,english,9.06
administrator banking,process,7.71
administrator banking data,R,100.0
administrator banking data,Excel,100.0
administrator banking data,data,11.08
administrator banking data,communication attention,10.47
administrator banking data,communication attention detail,10.47
administrator banking data,office excel,10.33
administrator banking data,visual,10.26
administrator banking data,accuracy,9.85
administrator banking data,bank,9.6
administrator banking data,ms office,9.6
administrator consultant,R,100.0
administrator consultant,GAN,100.0
administrator consultant,network,17.74
administrator consultant,windows,15.67
administrator consultant,server,14.74
administrator consultant,support,8.85
administrator consultant,certifications,7.89
administrator consultant,document,7.73
administrator consultant,troubleshoot,7.1
administrator consultant,microsoft,6.95
administrator data,R,100.0
administrator data,Tableau,100.0
administrator data,Python,100.0
administrator data,AWS,100.0
administrator data,SQL,100.0
administrator data,SAS,100.0
administrator data,GAN,100.0
administrator data,data,24.21
administrator data,storage,15.78
administrator data,procedures,13.03
administrator data manager,R,100.0
administrator data manager,Tableau,100.0
administrator data manager,SQL,100.0
administrator data manager,experience communication,11.58
administrator data manager,data,10.72
administrator data manager,management system,10.59
administrator data manager,relevant,10.51
administrator data manager,clearance,9.99
administrator data manager,metrics,9.99
administrator data manager,databases,9.65
administrator designer,R,100.0
administrator designer,SQL,100.0
administrator designer,autocad,15.32
administrator designer,iso,15.17
administrator designer,communication microsoft,13.25
administrator designer,control,9.53
administrator designer,sql,9.48
administrator designer,microsoft office,8.35
administrator designer,office,7.75
administrator designer,report,7.65
administrator developer,Tableau,100.0
administrator developer,Hadoop,100.0
administrator developer,Ethics,100.0
administrator developer,Snowflake,100.0
administrator developer,AWS,100.0
administrator developer,SQL,100.0
administrator developer,R,100.0
administrator developer,Power BI,100.0
administrator developer,MySQL,100.0
administrator developer,SAS,100.0
administrator manager,R,100.0
administrator manager,Excel,100.0
administrator manager,GAN,100.0
administrator manager,contract,18.27
administrator manager,management,12.0
administrator manager,grant,11.64
administrator manager,administration,11.46
administrator manager,construction,9.73
administrator manager,public,9.25
administrator manager,procurement,7.88
administrator operator,R,100.0
administrator operator,Excel,100.0
administrator operator,GAN,100.0
administrator operator,operations,12.77
administrator operator,shift,12.66
administrator operator,safety,10.39
administrator operator,word excel,10.32
administrator operator,ms office,9.8
administrator operator,outlook,9.55
administrator operator,experience,9.05
administrator programmer,R,100.0
administrator programmer,SQL,100.0
administrator programmer,sql,24.93
administrator programmer,framework,17.55
administrator programmer,javascript,16.1
administrator programmer,server,15.57
administrator programmer,database,13.88
administrator programmer,tool,11.97
administrator programmer,permit,0.0
administrator programmer,periods,0.0
administrator researcher,R,100.0
administrator researcher,GAN,100.0
administrator researcher,communication,13.42
administrator researcher,proficiency,12.23
administrator researcher,management,11.14
administrator researcher,experience,10.61
administrator researcher,sales,10.12
administrator researcher,market,9.64
administrator researcher,market research,9.27
administrator researcher,software,9.07
analyst,Regression,100.0
analyst,Sustainability,100.0
analyst,Tableau,100.0
analyst,chatbot,100.0
analyst,Pattern,100.0
analyst,Hadoop,100.0
analyst,Principal Component Analysis,100.0
analyst,Matrix,100.0
analyst,TensorFlow,100.0
analyst,Open source,100.0
analyst accountant,R,100.0
analyst accountant,Excel,100.0
analyst accountant,GAN,100.0
analyst accountant,account,21.64
analyst accountant,financial,16.03
analyst accountant,analysis,10.36
analyst accountant,report,8.91
analyst accountant,finance,8.41
analyst accountant,project,7.5
analyst accountant,audit,7.37
analyst administrator,R,100.0
analyst administrator,GAN,100.0
analyst administrator,SQL,100.0
analyst administrator,Excel,100.0
analyst administrator,Ethics,100.0
analyst administrator,contract,25.9
analyst administrator,administration,11.55
analyst administrator,management,11.02
analyst administrator,communication organizational,9.23
analyst administrator,payment,7.9
analyst analyst,Regression,100.0
analyst analyst,Tableau,100.0
analyst analyst,Pattern,100.0
analyst analyst,Excel,100.0
analyst analyst,Snowflake,100.0
analyst analyst,Jupyter,100.0
analyst analyst,MATLAB,100.0
analyst analyst,Cybersecurity,100.0
analyst analyst,AWS,100.0
analyst analyst,Pandas,100.0
analyst analyst accountant,R,100.0
analyst analyst accountant,account,13.46
analyst analyst accountant,financial statements,11.66
analyst analyst accountant,budget forecast,10.69
analyst analyst accountant,supervision,10.52
analyst analyst accountant,tax,10.36
analyst analyst accountant,statements,10.21
analyst analyst accountant,mentor,9.26
analyst analyst accountant,forecast,8.69
analyst analyst accountant,budget,7.76
analyst analyst auditor,R,100.0
analyst analyst auditor,cpa,14.65
analyst analyst auditor,financial report,14.03
analyst analyst auditor,mentor,13.39
analyst analyst auditor,audit,12.42
analyst analyst auditor,leadership,10.59
analyst analyst auditor,financial,9.83
analyst analyst auditor,account,9.73
analyst analyst auditor,report,8.59
analyst analyst auditor,communication,6.78
analyst auditor,Python,100.0
analyst auditor,R,100.0
analyst auditor,Ethics,100.0
analyst auditor,GAN,100.0
analyst auditor,SQL,100.0
analyst auditor,Excel,100.0
analyst auditor,audit,27.27
analyst auditor,quality,12.17
analyst auditor,medical,10.55
analyst auditor,certify,10.08
analyst banking,R,100.0
analyst banking,IBM,100.0
analyst banking,Power BI,100.0
analyst banking,Ethics,100.0
analyst banking,GAN,100.0
analyst banking,SQL,100.0
analyst banking,Excel,100.0
analyst banking,financial,17.74
analyst banking,analysis,15.76
analyst banking,model,10.76
analyst consultant,Tableau,100.0
analyst consultant,Excel,100.0
analyst consultant,Google Cloud,100.0
analyst consultant,AWS,100.0
analyst consultant,SQL,100.0
analyst consultant,R,100.0
analyst consultant,Python,100.0
analyst consultant,Azure,100.0
analyst consultant,Power BI,100.0
analyst consultant,PostgreSQL,100.0
analyst data,Regression,100.0
analyst data,Sustainability,100.0
analyst data,Tableau,100.0
analyst data,Pattern,100.0
analyst data,Hadoop,100.0
analyst data,Matrix,100.0
analyst data,TensorFlow,100.0
analyst data,MongoDB,100.0
analyst data,Excel,100.0
analyst data,Spark,100.0
analyst data analyst,R,100.0
analyst data analyst,Tableau,100.0
analyst data analyst,Snowflake,100.0
analyst data analyst,SQL,100.0
analyst data analyst,Excel,100.0
analyst data analyst,GAN,100.0
analyst data analyst,data,27.63
analyst data analyst,analysis,15.19
analyst data analyst,business,9.24
analyst data analyst,sql,9.11
analyst designer,R,100.0
analyst designer,adobe,100.0
analyst designer,user,23.06
analyst designer,web,19.54
analyst designer,certification,9.6
analyst designer,project management,7.26
analyst designer,management,7.2
analyst designer,adobe,7.01
analyst designer,principles,6.79
analyst designer,project,6.75
analyst developer,Regression,100.0
analyst developer,Tableau,100.0
analyst developer,chatbot,100.0
analyst developer,Pattern,100.0
analyst developer,TensorFlow,100.0
analyst developer,Excel,100.0
analyst developer,Ethics,100.0
analyst developer,BigQuery,100.0
analyst developer,AWS,100.0
analyst developer,SQL,100.0
analyst manager,Tableau,100.0
analyst manager,Excel,100.0
analyst manager,Ethics,100.0
analyst manager,MATLAB,100.0
analyst manager,adobe,100.0
analyst manager,SQL,100.0
analyst manager,R,100.0
analyst manager,IBM,100.0
analyst manager,Python,100.0
analyst manager,Azure,100.0
analyst marketing,Regression,100.0
analyst marketing,Tableau,100.0
analyst marketing,Hadoop,100.0
analyst marketing,GAN,100.0
analyst marketing,Excel,100.0
analyst marketing,Snowflake,100.0
analyst marketing,adobe,100.0
analyst marketing,AWS,100.0
analyst marketing,Pandas,100.0
analyst marketing,SQL,100.0
analyst programmer,Tableau,100.0
analyst programmer,MongoDB,100.0
analyst programmer,Excel,100.0
analyst programmer,AWS,100.0
analyst programmer,SQL,100.0
analyst programmer,R,100.0
analyst programmer,IBM,100.0
analyst programmer,Python,100.0
analyst programmer,Azure,100.0
analyst programmer,Power BI,100.0
analyst researcher,R,100.0
analyst researcher,AWS,100.0
analyst researcher,research,15.2
analyst researcher,user,12.74
analyst researcher,analysis,12.01
analyst researcher,test,11.39
analyst researcher,data analysis,9.1
analyst researcher,laws,8.32
analyst researcher,data analysis report,7.85
analyst researcher,trade,7.85
analyst sales,Sustainability,100.0
analyst sales,Tableau,100.0
analyst sales,Excel,100.0
analyst sales,BigQuery,100.0
analyst sales,Snowflake,100.0
analyst sales,adobe,100.0
analyst sales,SQL,100.0
analyst sales,R,100.0
analyst sales,Python,100.0
analyst sales,Azure,100.0
auditor,Regression,100.0
auditor,Sustainability,100.0
auditor,Tableau,100.0
auditor,Pattern,100.0
auditor,Hadoop,100.0
auditor,Matrix,100.0
auditor,GAN,100.0
auditor,MongoDB,100.0
auditor,Excel,100.0
auditor,Spark,100.0
auditor accountant,R,100.0
auditor accountant,Excel,100.0
auditor accountant,GAN,100.0
auditor accountant,audit,30.09
auditor accountant,account,18.7
auditor accountant,daily,9.68
auditor accountant,gaap,8.7
auditor accountant,statement,6.57
auditor accountant,government,6.36
auditor accountant,communication,5.09
auditor analyst,R,100.0
auditor analyst,AWS,100.0
auditor analyst,GAN,100.0
auditor analyst,Excel,100.0
auditor analyst,audit,22.0
auditor analyst,internal,18.49
auditor analyst,account,9.48
auditor analyst,administration,9.4
auditor analyst,energy,7.96
auditor analyst,internal control,7.61
auditor auditor,R,100.0
auditor auditor,Pattern,100.0
auditor auditor,AWS,100.0
auditor auditor,GAN,100.0
auditor auditor,audit,21.41
auditor auditor,information,11.79
auditor auditor,data,11.68
auditor auditor,certificate,8.56
auditor auditor,account,8.39
auditor auditor,analysis,8.03
auditor banking,R,100.0
auditor banking,Excel,100.0
auditor banking,Ethics,100.0
auditor banking,audit,27.31
auditor banking,risk,13.5
auditor banking,management,10.12
auditor banking,control,8.55
auditor banking,financial,7.86
auditor banking,internal,7.82
auditor banking,risk management,6.69
auditor data,R,100.0
auditor data,Tableau,100.0
auditor data,Python,100.0
auditor data,Power BI,100.0
auditor data,SQL,100.0
auditor data,driver license,11.9
auditor data,driver,11.9
auditor data,reliable,10.87
auditor data,license,10.74
auditor data,vehicle,10.39
auditor designer,R,100.0
auditor designer,Excel,100.0
auditor designer,inspection,18.22
auditor designer,interpretation,14.38
auditor designer,calculations,11.81
auditor designer,test,11.7
auditor designer,energy,10.59
auditor designer,quality,7.44
auditor designer,management construction,6.86
auditor designer,construction management,6.46
auditor manager,R,100.0
auditor manager,Excel,100.0
auditor manager,Ethics,100.0
auditor manager,train,23.8
auditor manager,audit,17.13
auditor manager,account,9.59
auditor manager,management,7.98
auditor manager,medical,7.71
auditor manager,analytical,7.49
auditor manager,license,7.39
auditor sales,R,100.0
auditor sales,GAN,100.0
auditor sales,sales,12.08
auditor sales,retail experience,10.81
auditor sales,hvac,10.47
auditor sales,sales customer service,10.16
auditor sales,outside,10.06
auditor sales,home,9.61
auditor sales,experience,9.49
auditor sales,sales customer,9.21
banking,Tableau,100.0
banking,Pattern,100.0
banking,Hadoop,100.0
banking,Matrix,100.0
banking,MongoDB,100.0
banking,Threats,100.0
banking,Excel,100.0
banking,Spark,100.0
banking,Ethics,100.0
banking,STATA,100.0
banking accountant,R,100.0
banking accountant,bank,21.95
banking accountant,financial,11.02
banking accountant,automotive,9.64
banking accountant,daily,9.29
banking accountant,store,8.74
banking accountant,management system,8.34
banking accountant,review,8.28
banking accountant,corporate,8.04
banking accountant,management,7.57
banking administrator,R,100.0
banking administrator,adobe,100.0
banking administrator,Excel,100.0
banking administrator,bank,24.5
banking administrator,experience,16.25
banking administrator,process,9.27
banking administrator,management,8.77
banking administrator,microsoft,7.25
banking administrator,scheme,7.24
banking administrator,account,7.03
banking analyst,Regression,100.0
banking analyst,R,100.0
banking analyst,Tableau,100.0
banking analyst,SAS,100.0
banking analyst,Ethics,100.0
banking analyst,GAN,100.0
banking analyst,Excel,100.0
banking analyst,SQL,100.0
banking analyst,bank,19.35
banking analyst,financial,17.26
banking auditor,R,100.0
banking auditor,audit,26.03
banking auditor,group,10.16
banking auditor,quality assurance,9.67
banking auditor,assurance,9.05
banking auditor,risk,8.57
banking auditor,procedures,8.14
banking auditor,compliance,7.47
banking auditor,quality,7.36
banking auditor,management,7.07
banking banking,R,100.0
banking banking,bank,16.41
banking banking,associate,14.47
banking banking,bilingual,10.51
banking banking,communication attention,8.95
banking banking,communication attention detail,8.95
banking banking,management,8.49
banking banking,risk management,8.42
banking banking,acumen,8.21
banking banking,license,7.86
banking consultant,R,100.0
banking consultant,Ethics,100.0
banking consultant,AWS,100.0
banking consultant,GAN,100.0
banking consultant,Excel,100.0
banking consultant,service,14.78
banking consultant,service sales,12.41
banking consultant,sales,11.92
banking consultant,customer service sales,10.74
banking consultant,financial,10.47
banking data,R,100.0
banking data,Excel,100.0
banking data,GAN,100.0
banking data,data,24.68
banking data,management,11.06
banking data,protection,9.04
banking data,teamwork problemsolving,8.51
banking data,regulatory compliance,8.25
banking data,awareness,8.12
banking data,consult,7.61
banking data analyst,R,100.0
banking data analyst,GAN,100.0
banking data analyst,tax,17.92
banking data analyst,data,13.5
banking data analyst,analysis,9.28
banking data analyst,retirement,9.17
banking data analyst,reconciliation,8.76
banking data analyst,write communication verbal,8.51
banking data analyst,metrics,8.39
banking data analyst,quality assurance,8.27
banking manager,R,100.0
banking manager,adobe,100.0
banking manager,SAS,100.0
banking manager,Matrix,100.0
banking manager,AWS,100.0
banking manager,GAN,100.0
banking manager,Excel,100.0
banking manager,Ethics,100.0
banking manager,bank,20.49
banking manager,credit,12.84
banking marketing,R,100.0
banking marketing,media,20.21
banking marketing,negotiation,14.89
banking marketing,market,11.74
banking marketing,customer,10.94
banking marketing,management,8.14
banking marketing,people management,7.12
banking marketing,supplier,7.05
banking marketing,bilingual,6.72
banking marketing,response,6.66
banking sales,R,100.0
banking sales,sales,26.63
banking sales,customer,13.13
banking sales,management,11.72
banking sales,retention,9.26
banking sales,review,8.55
banking sales,bank,7.55
banking sales,development,7.29
banking sales,financial,5.69
banking sales,service,5.15
consultant,Regression,100.0
consultant,Sustainability,100.0
consultant,Tableau,100.0
consultant,chatbot,100.0
consultant,Hadoop,100.0
consultant,Pattern,100.0
consultant,Matrix,100.0
consultant,TensorFlow,100.0
consultant,Django,100.0
consultant,MongoDB,100.0
consultant administrator,R,100.0
consultant administrator,microsoft,19.98
consultant administrator,certifications,17.01
consultant administrator,network,15.3
consultant administrator,support,8.48
consultant administrator,technical,7.91
consultant administrator,service,7.09
consultant administrator,reliable,6.72
consultant administrator,transportation,6.37
consultant administrator,windows,5.63
consultant analyst,R,100.0
consultant analyst,Power BI,100.0
consultant analyst,Excel,100.0
consultant analyst,GAN,100.0
consultant analyst,management,15.09
consultant analyst,business,13.77
consultant analyst,data,13.47
consultant analyst,financial,9.28
consultant analyst,analysis,9.26
consultant analyst,project,8.8
consultant auditor,R,100.0
consultant auditor,Cybersecurity,100.0
consultant auditor,scheme,23.9
consultant auditor,audit,11.85
consultant auditor,security,11.18
consultant auditor,management,9.65
consultant auditor,employee assistance,7.76
consultant auditor,security clearance,7.56
consultant auditor,pension,7.43
consultant auditor,bonus,7.15
consultant banking,R,100.0
consultant banking,SQL,100.0
consultant banking,bank,19.36
consultant banking,sap,18.77
consultant banking,business,12.46
consultant banking,management,10.01
consultant banking,process,7.94
consultant banking,financial,7.29
consultant banking,service,6.61
consultant banking,management train,6.14
consultant consultant,Sustainability,100.0
consultant consultant,Tableau,100.0
consultant consultant,Hadoop,100.0
consultant consultant,Cybersecurity,100.0
consultant consultant,AWS,100.0
consultant consultant,SQL,100.0
consultant consultant,R,100.0
consultant consultant,Python,100.0
consultant consultant,Azure,100.0
consultant consultant,Power BI,100.0
consultant consultant sales,R,100.0
consultant consultant sales,Excel,100.0
consultant consultant sales,GAN,100.0
consultant consultant sales,microsoft,15.41
consultant consultant sales,internet,14.49
consultant consultant sales,tax,13.82
consultant consultant sales,account,13.46
consultant consultant sales,valid driver license,7.37
consultant consultant sales,valid driver,7.37
consultant consultant sales,supervisory,7.19
consultant data,Sustainability,100.0
consultant data,Tableau,100.0
consultant data,Pattern,100.0
consultant data,MongoDB,100.0
consultant data,BigQuery,100.0
consultant data,STATA,100.0
consultant data,Snowflake,100.0
consultant data,AWS,100.0
consultant data,SQL,100.0
consultant data,Docker,100.0
consultant data analyst,R,100.0
consultant data analyst,Power BI,100.0
consultant data analyst,Excel,100.0
consultant data analyst,management budget,10.86
consultant data analyst,financial management,10.77
consultant data analyst,budget forecast,10.68
consultant data analyst,data,10.4
consultant data analyst,communication analytical,9.69
consultant data analyst,excel powerpoint,9.69
consultant data analyst,oral communication,9.69
consultant designer,R,100.0
consultant designer,Excel,100.0
consultant designer,SQL,100.0
consultant designer,GAN,100.0
consultant designer,home,13.55
consultant designer,data,12.55
consultant designer,salesforce,11.08
consultant designer,flexible schedule,10.25
consultant designer,organization,9.61
consultant designer,customer service,8.73
consultant developer,Tableau,100.0
consultant developer,Pattern,100.0
consultant developer,Excel,100.0
consultant developer,adobe,100.0
consultant developer,AWS,100.0
consultant developer,SQL,100.0
consultant developer,Docker,100.0
consultant developer,R,100.0
consultant developer,Python,100.0
consultant developer,Azure,100.0
consultant manager,Sustainability,100.0
consultant manager,Tableau,100.0
consultant manager,GAN,100.0
consultant manager,MongoDB,100.0
consultant manager,Excel,100.0
consultant manager,adobe,100.0
consultant manager,AWS,100.0
consultant manager,SQL,100.0
consultant manager,R,100.0
consultant manager,Python,100.0
consultant marketing,Regression,100.0
consultant marketing,R,100.0
consultant marketing,Python,100.0
consultant marketing,adobe,100.0
consultant marketing,Excel,100.0
consultant marketing,SQL,100.0
consultant marketing,GAN,100.0
consultant marketing,market,22.57
consultant marketing,management,14.08
consultant marketing,research,11.39
consultant sales,R,100.0
consultant sales,GAN,100.0
consultant sales,Excel,100.0
consultant sales,Ethics,100.0
consultant sales,sales,28.67
consultant sales,recruitment,11.37
consultant sales,management,10.52
consultant sales,customer,8.64
consultant sales,service,8.33
consultant sales,communication,8.1
consultant sales marketing,R,100.0
consultant sales marketing,GAN,100.0
consultant sales marketing,service,13.25
consultant sales marketing,crm,10.96
consultant sales marketing,sales,10.87
consultant sales marketing,salesforce,10.37
consultant sales marketing,customer,10.29
consultant sales marketing,flexible schedule,9.31
consultant sales marketing,home,9.22
consultant sales marketing,goal,8.92
data,Regression,100.0
data,Sustainability,100.0
data,Tableau,100.0
data,LSTM,100.0
data,SVM,100.0
data,chatbot,100.0
data,Hadoop,100.0
data,Principal Component Analysis,100.0
data,Matrix,100.0
data,TensorFlow,100.0
data accountant,R,100.0
data accountant,data,22.98
data accountant,analysis data,15.08
data accountant,analysis,13.53
data accountant,system,8.96
data accountant,account,8.49
data accountant,communication negotiation,7.03
data accountant,reconciliation,6.39
data accountant,financial analysis,6.08
data accountant,management,5.88
data administrator,Tableau,100.0
data administrator,MongoDB,100.0
data administrator,Excel,100.0
data administrator,BigQuery,100.0
data administrator,Google Cloud,100.0
data administrator,AWS,100.0
data administrator,SQL,100.0
data administrator,Docker,100.0
data administrator,R,100.0
data administrator,Python,100.0
data analyst,Regression,100.0
data analyst,Sustainability,100.0
data analyst,LSTM,100.0
data analyst,Tableau,100.0
data analyst,SVM,100.0
data analyst,chatbot,100.0
data analyst,Hadoop,100.0
data analyst,Principal Component Analysis,100.0
data analyst,Matrix,100.0
data analyst,TensorFlow,100.0
data analyst analyst,Tableau,100.0
data analyst analyst,Pattern,100.0
data analyst analyst,Excel,100.0
data analyst analyst,Snowflake,100.0
data analyst analyst,AWS,100.0
data analyst analyst,SQL,100.0
data analyst analyst,R,100.0
data analyst analyst,Python,100.0
data analyst analyst,Azure,100.0
data analyst analyst,Power BI,100.0
data analyst banking,R,100.0
data analyst banking,Tableau,100.0
data analyst banking,SQL,100.0
data analyst banking,SAS,100.0
data analyst banking,Excel,100.0
data analyst banking,business analysis,16.97
data analyst banking,bank,16.0
data analyst banking,analysis,14.27
data analyst banking,business,10.3
data analyst banking,payment,9.89
data analyst data,Tableau,100.0
data analyst data,Hadoop,100.0
data analyst data,MongoDB,100.0
data analyst data,Excel,100.0
data analyst data,Spark,100.0
data analyst data,BigQuery,100.0
data analyst data,Snowflake,100.0
data analyst data,AWS,100.0
data analyst data,SQL,100.0
data analyst data,R,100.0
data analyst data analyst,R,100.0
data analyst data analyst,Excel,100.0
data analyst data analyst,data,24.5
data analyst data analyst,analysis,12.62
data analyst data analyst,business,9.11
data analyst data analyst,microsoft,9.07
data analyst data analyst,teamwork communication,8.0
data analyst data analyst,business analysis,7.51
data analyst data analyst,complex,7.46
data analyst data analyst,warehouse,7.36
data analyst developer,Tableau,100.0
data analyst developer,Excel,100.0
data analyst developer,Spark,100.0
data analyst developer,AWS,100.0
data analyst developer,SQL,100.0
data analyst developer,R,100.0
data analyst developer,Python,100.0
data analyst developer,Azure,100.0
data analyst developer,Power BI,100.0
data analyst developer,MySQL,100.0
data analyst manager,Sustainability,100.0
data analyst manager,Tableau,100.0
data analyst manager,Excel,100.0
data analyst manager,SQL,100.0
data analyst manager,R,100.0
data analyst manager,IBM,100.0
data analyst manager,Azure,100.0
data analyst manager,Power BI,100.0
data analyst manager,PostgreSQL,100.0
data analyst manager,data,34.2
data analyst marketing,Regression,100.0
data analyst marketing,Python,100.0
data analyst marketing,R,100.0
data analyst marketing,Tableau,100.0
data analyst marketing,Power BI,100.0
data analyst marketing,SQL,100.0
data analyst marketing,Excel,100.0
data analyst marketing,GAN,100.0
data analyst marketing,data,19.03
data analyst marketing,market,11.35
data analyst sales,R,100.0
data analyst sales,Excel,100.0
data analyst sales,sales,16.42
data analyst sales,optimization,14.24
data analyst sales,financial,10.52
data analyst sales,customer,9.71
data analyst sales,analysis,8.31
data analyst sales,budget forecast,8.28
data analyst sales,call,8.28
data analyst sales,analysis financial,8.21
data auditor,Tableau,100.0
data auditor,Excel,100.0
data auditor,PCA,100.0
data auditor,SQL,100.0
data auditor,R,100.0
data auditor,Python,100.0
data auditor,Power BI,100.0
data auditor,SAS,100.0
data auditor,GAN,100.0
data auditor,audit,18.53
data banking,R,100.0
data banking,Hadoop,100.0
data banking,SQL,100.0
data banking,analyst,17.46
data banking,warehouse,16.28
data banking,business,10.08
data banking,data,9.04
data banking,communications,8.79
data banking,hybrid,8.37
data banking,bank,7.83
data consultant,Tableau,100.0
data consultant,Hadoop,100.0
data consultant,Excel,100.0
data consultant,Spark,100.0
data consultant,Ethics,100.0
data consultant,BigQuery,100.0
data consultant,Google Cloud,100.0
data consultant,STATA,100.0
data consultant,Snowflake,100.0
data consultant,Jupyter,100.0
data consultant data,R,100.0
data consultant data,Excel,100.0
data consultant data,data,32.38
data consultant data,governance,19.97
data consultant data,mentor,7.67
data consultant data,advance,7.39
data consultant data,data management,6.72
data consultant data,quality,6.04
data consultant data,write,5.32
