Learning_Path,Specific_Learning_Path,Course_Name,Level,Duration,Rating,Desciption,ILO,Tags,Other_Language_Support,URL,Prerequisites,5 Stars,4 Stars,3 Stars,2 Stars,1 Stars,Total Number of Students,5 Stars Percentage,5&4 Stars Percentage
AI,Generative AI in Action,Coding Simplified with Generative AI,Experience,3h,4.5,"Welcome to Coding Simplified with Generative AI! In this course, you will learn the basics of scripting, understand its distinctions from traditional programming, and explore how generative AI models are used to simplify and streamline code generation. Through hands-on labs, you'll also learn how to create algorithms and apply your skills using widely used programming languages.",,"Administrative, NotSearchable, Initiatives, SDI, Learning Domain, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence, npo_orgs",English,https://skills.yourlearning.ibm.com/activity/MDL-389?planId=PLAN-9E14CB5C4540&sectionId=SECTION-B&planIdFromParentTab=PLAN-9E14CB5C4540&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-9E14CB5C4540,,14,6,2,2,0,24,58,83
AI,Generative AI in Action,How is technology used in tennis?,Experience,15m,5,"Emerging technologies are revolutionizing the way people play and experience the game of tennis. From the introduction of AI to the analysis of data, these technologies provide a richer experience for fans. In this micro learning activity, you will be introduced to the various emerging technologies that are used in professional tennis. You will explore the technology behind new innovations like electronic line calling, player and match analytics and insights, and enhanced broadcasting and highlights.",,,,https://skills.yourlearning.ibm.com/activity/MDL-508,,2,0,0,0,0,2,100,100
AI,Artificial Intelligence Fundamentals,The Money Maker Gans Game,Experience,10m,4.5,"In this game, you'll learn more about the generative adversarial network (GAN) process and the relationship that exists between the generator (a criminal) and discriminator (you) in producing and identifying genuine and counterfeit banknotes.",,"Learning Domain, Technical Skills-Data, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence","English, Brazilian Portuguese, Chinese (Traditional), Czech, French, German, Hindi, Japanese, Spanish",https://skills.yourlearning.ibm.com/activity/MDL-317?planId=PLAN-7913EE1DB030&sectionId=SECTION-C&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-C&planIdForChildTab=PLAN-7913EE1DB030,,408,131,30,12,25,606,67,89
AI,Generative AI in Action,Improve Your Resume Writing with Generative AI,"Experience, Job",40m,4.5,"In this activity-based course, you'll complete a guided activity that demonstrates how to co-write or update your resume using generative AI.

It is recommended that prior to this course, you complete Master the Art of Prompting and Create a Great Professional Resume.","Identify the rules to follow to write effective prompts to generate focused and accurate results from an AI language model
Follow the steps to effectively write and refine a series of prompts for generative AI for your resume
Demonstrate the steps to effectively write and refine your resume","Learning Domain, Workplace Skills- Workforce readiness, Technological Skills - Artificial Intelligence, Learning Domain Primary, Aritificial Intelligence",English,https://skills.yourlearning.ibm.com/activity/ILB-XVZNEXKGDVQN2PD3,,266,105,29,8,11,419,63,89
AI,Artificial Intelligence Fundamentals,Your Future in AI: The Job Landscape,Job,1h,4.5,"Are you considering a career in artificial intelligence? In this course, learn about the AI job market?€?s rapid growth and the skills needed for success in this exciting field. You?€?ll hear how real professionals got their start, and find resources and learning opportunities that could help you work alongside them.","Identify industries in which AI professionals work
Recognize the global demand for AI specialists in the job market
Describe a possible future for AI
Identify the primary responsibilities and skillsets for different job roles in AI
Identify the skills that AI professionals need
Identify the tools to know when starting out in the field
Identify resources to learn more and stay up to date in the field of artificial intelligence","Administrative, NotSearchable, Initiatives, SDI, Learning Domain, Technical Skills- Artificial Intelligence, Learning Domain Primary, Artificial Intelligence","Czech, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/MDL-213?planId=PLAN-7913EE1DB030&sectionId=SECTION-B&planIdFromParentTab=PLAN-7913EE1DB030&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-7913EE1DB030,,527,140,37,18,27,749,70,89
Data,Agile Explorer,A Taste of Agile,Beginners,2h 50m,4.5,"A Taste of Agile is designed to provide a basic awareness of Agile work methods, and how you can use them to change the way you work in academics, on the job, or even in your personal life. The course provides a foundational understanding of the values, principles, practices, and patterns of Agile, and the team dynamics that create success.

A Taste of Agile is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-GYEGEDYJNEVY1Y3V?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,676,121,31,14,16,858,79,93
Data,Agile Explorer,Agile Operations Fundamentals,Beginners,2h 5m,4.5,"Agile Operations Fundamentals is designed to help operational teams develop the foundational skills to plan, structure, deliver, monitor, and improve on operational activities and processes. These skills can be used in school, on the job, and in your personal life. This course builds on the foundational awareness from A Taste of Agile, through an operations pattern that provides guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.

Agile Operations Fundamentals is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-RKEVEWMRKEGN7JAB?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,335,61,7,8,5,416,81,95
Data,Agile Explorer,Agile Program Fundamentals,Beginners,2h 10m,4.5,"Agile Program Fundamentals is designed to help project teams develop the foundational skills to plan, structure, and deliver on programs and projects incrementally and iteratively. This course builds on the foundational awareness from A Taste of Agile and Agile Operations Fundamentals. You will learn the project pattern and receive guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill, Operations Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-JYKQKJZGVPVZ3QNZ?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,289,61,12,4,6,372,78,94
Data,Project Management Fundamentals,Project Management Fundamentals,Fundamental,3h 30m,4.5,This course introduces you to the basic principles of project management and what it takes to be a successful project manager.,"Common project management terms
The value of project management
Project management approaches: Waterfall, Agile, and Hybrid
The role, overall responsibilities, and competencies of a project manager
The purpose of the phases of a project: Initiate and Plan, Execute, and Close
The key tasks that a project manager performs in each project phase
The overall job market and common industry certifications to consider in the project management field","Badge Learning, 000 All Digital Credentials, Project Management Fundamentals, Fundamentals, All Fundamentals, Learning Domain, Technical Skills - IT Project Management, Lightcast Skills Taxonomy, Agile Methodology Skill",,https://skills.yourlearning.ibm.com/activity/ILB-DNRVRVRGKDNQPQ9X,,1581,346,88,40,33,2088,76,92
Data,Data Fundamentals,Introduction to Data Concepts,Advanced,1h 15m,4.5,"Agile Program Fundamentals is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.","Explain the importance of data in a digital world
Differentiate between unstructured and structured data
Identify the purpose of a database
Differentiate between quantitative and qualitative data
Describe the five V?€?s of big data
Describe the four types of data analytics
Explain the work involved in each step of the data analysis process
Identify the purpose of a data visualization
Recognize different charts to display data visualizations in the best way",,"English, Arabic, French",https://skills.yourlearning.ibm.com/activity/MDL-215,,1571,358,96,39,70,2134,74,90
Data,Data Fundamentals,Data Science in Our World,Advanced,2h,4.5,"In this course, you will learn about the field of data science, including widely adopted methodologies, an example project as it moves through the steps of a data science methodology, the application of data science in our world, and the role of data scientists and their colleagues.","Define data science
Recognize the importance of being curious to solve problems with data
Differentiate between the fields of data analytics and data science
Identify three widely adopted data science methodologies
Explore a data project scenario and identify key tasks as it moves through a methodology
Recognize industries and applications of data science that help solve problems and discover innovations
Compare the roles and characteristics of a data analyst, data scientist, and data engineer
","Badge Learning, Data Fundamentals, Learning Domain, Technical Skills-Data, Learning Domain Primary, Data, Lightcast Skills Taxonomy, Data Analysis Skill, Data Science Skills","English, Arabic, French",https://skills.yourlearning.ibm.com/activity/MDL-216,,657,164,43,25,49,938,70,88
Data,Data Fundamentals,Overview of Data Tools and Languages,Advanced,1h 30m,4.5,"In this course, you will get an introduction to common data analysis and visualization tools so you?€?re familiar with them and can recognize how data science projects use them.","Recognize the value of collaborating and using open source in the field of data science
Identify the purpose of GitHub
Identify the purpose of a selection of common tools to analyze and visualize data, including:
Microsoft Excel
Google Sheets
Structured Query Language (SQL)
Python
IBM Watson Studio
Tableau
Matplotlib
Identify factors businesses can consider when selecting a data transformation tool
Identify factors individuals can consider when selecting a data transformation tool","Badge Learning, Data Fundamentals, Learning Domain, Technical Skills-Data, Learning Domain Primary, Data, Lightcast Skills Taxonomy, Data Analysis Skill, Data Science Skills, Microsoft Excel Skill, Python, Data Analysis Skill, Tableau, SQL","English, Arabic, French",https://skills.yourlearning.ibm.com/activity/MDL-221,,481,91,35,6,14,627,77,91
Data,Data Fundamentals,"Clean, Refine, and Visualise Data with IBM Watsonx Studio",Advanced,1h 35m,4.5,"In this course, you will practice cleaning, refining, and visualizing data, in a series of simulations, using IBM Watson Studio with the data refinery tool.","Explain the purpose and key features of IBM Watson Studio
Set up a new project in IBM Watson Studio
Import a data set
Clean data using the data refinery tool
Refine data using the data refinery tool
Create a data visualization
Conclude insights from a data visualization
","Badge Learning, Data Fundamentals, Learning Domain, Technical Skills- Data, Learning Domain Primary, Data","English, Arabic, French",https://skills.yourlearning.ibm.com/activity/MDL-217?planId=PLAN-BC0FAEE8E439&sectionId=SECTION-B&planIdFromParentTab=PLAN-BC0FAEE8E439&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-BC0FAEE8E439,,452,74,36,12,28,602,75,87
Data ,Emerging Tech,"Techniques to Manage, Share, and Put Data to Work",Beginners,25m,4.5,Dive into applications of data science and machine learning. You'll see how programming languages like R and Python and visualization tools like Tableau and ggplot2 can help uncover data's deepest secrets.,,"Badge Learning, Explore Emerging Tech, Learning Domain, Other-Emerging Technologies, Technical Skills- Data, Learning Domain Primary, Data, Lightcast Skills Taxonomy, Machine Learning Skill, Tableau, Python, R, Data Science Skill","English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese",https://skills.yourlearning.ibm.com/activity/ILB-QPEKVQEKRYZG2KZ3?planId=PLAN-EB2D3DA31CF9&sectionId=SECTION-E&planIdFromParentTab=PLAN-EB2D3DA31CF9&sectionIdFromParentTab=SECTION-E&planIdForChildTab=PLAN-EB2D3DA31CF9,,615,152,28,6,7,808,76,95
Data,Emerging Tech,Data Science in the Real World ,Fundamental,20m,4.5,"Explore what it's like to be a data scientist. From an overview of job opportunities to interviews with people currently working in data analysis, you'll get a feel for this exciting career.",,"Badge Learning, Explore Emerging Tech, Learning Domain, Other-Emerging Technologies, Technical Skills- Data, Learning Domain Primary, Data, Lightcast Skills Taxonomy, Data Science Skill, Data Analysis Skill","English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese",https://skills.yourlearning.ibm.com/activity/ILB-MKRZNDRZRGNJ2MXV,,778,192,54,4,9,1037,75,94
Data,Emerging Tech,What is Data Science?,Fundamental,30m,4.5,Learn why data science is like hunting for treasure! You'll get a closer look at the work and why you might choose it as your own career.,,"Badge Learning, Explore Emerging Tech, Learning Domain, Other-Emerging Technologies, Technical Skills- Data, Learning Domain Primary, Data, Lightcast Skills Taxonomy, Data Science Skill, Data Analysis Skill","English, German, French, Spanish, Portuguese (Brazil), Polish, Turkish, Korean, Traditional Chinese, Italian, Arabic, Hindi, and Japanese",https://skills.yourlearning.ibm.com/activity/ILB-VQNVGKNRKDYX44W6,,1719,495,67,26,17,2324,74,95
Data,Data Fundamentals,Your Future in Data: The Job Landscape,Job,50m,4.5,"In this course, you will learn about the data job market and projections, the responsibilities and skill sets of a data analyst and data scientist, and resources and learning opportunities so you can explore more.","Recognize the global demand for data analysts and data scientists in the job market
Recognize the future of the field of data analytics
Identify industries in which data professionals work
Identify the primary responsibilities of a data analyst and data scientist
Identify the skills that data professionals need
Identify the tools to know when starting out in the field
Identify resources to learn more and stay up to date in the field of data science
","Badge Learning, Data Fundamentals, Learning Domain, Workplace Skills- Workforce readiness, Technical Skills -Data, Learning Domain Primary, Data, Lightcast Skills taxonomy, Data Analysis Skill, Data Science Skill","English, Arabic, French",https://skills.yourlearning.ibm.com/activity/MDL-218?planId=PLAN-BC0FAEE8E439&sectionId=SECTION-B&planIdFromParentTab=PLAN-BC0FAEE8E439&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-BC0FAEE8E439,,582,107,39,16,27,771,75,89
Data,IBM Partner Organisation,Introduction to Data Analytics,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Excel Basics for Data Analytics,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Data Visualization and Dashboards with Excel and Cognos,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,"Python for Data Science, AI&Development",Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Python Project for Data Science,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Databases and SQL for Data Science with Python,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Data Analysis with Python,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,Data Visualisation with Python,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Data,IBM Partner Organisation,IBM Data Analyst Capston Project,Application,,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!
Cybersecurity,Aglie Explorer,A Taste of Agile,Beginners,2h 50m,4.5,"A Taste of Agile is designed to provide a basic awareness of Agile work methods, and how you can use them to change the way you work in academics, on the job, or even in your personal life. The course provides a foundational understanding of the values, principles, practices, and patterns of Agile, and the team dynamics that create success.

A Taste of Agile is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-GYEGEDYJNEVY1Y3V?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,676,121,31,14,16,858,79,93
Cybersecurity,Aglie Explorer,Agile Operations Fundamentals,Beginners,2h 5m,4.5,"Agile Operations Fundamentals is designed to help operational teams develop the foundational skills to plan, structure, deliver, monitor, and improve on operational activities and processes. These skills can be used in school, on the job, and in your personal life. This course builds on the foundational awareness from A Taste of Agile, through an operations pattern that provides guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.

Agile Operations Fundamentals is appropriate for everyone: students, workforce-facing team members, executives, managers, and practitioners.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-RKEVEWMRKEGN7JAB?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,335,61,7,8,5,416,81,95
Cybersecurity,Aglie Explorer,Agile Program Fundamentals,Beginners,2h 10m,4.5,"Agile Program Fundamentals is designed to help project teams develop the foundational skills to plan, structure, and deliver on programs and projects incrementally and iteratively. This course builds on the foundational awareness from A Taste of Agile and Agile Operations Fundamentals. You will learn the project pattern and receive guidance on recommended practices, tools, and techniques that align to the core Agile values and principles.",,"Badge Learning, Agile Explorer, Learning Domain, Workplace Skills- Workforce readiness, Lightcast Skills Taxonomy, Agile Methodology Skill, Operations Skill","English, Spanish, Brazilian Portuguese, Hindi, Japanese, French, Traditional Chinese",https://skills.yourlearning.ibm.com/activity/ILB-JYKQKJZGVPVZ3QNZ?planId=PLAN-F8CBF9ECCA49&sectionId=SECTION-B&planIdFromParentTab=PLAN-F8CBF9ECCA49&sectionIdFromParentTab=SECTION-B&planIdForChildTab=PLAN-F8CBF9ECCA49,,289,61,12,4,6,372,78,94
